correct_rate,response_time_mean,hint_requests,topic_switch_count,session_duration,level
0.55,9.75,3,4,27.6,intermediate
0.55,5.04,1,3,28.3,intermediate
0.65,8.94,2,4,25.4,advanced
0.55,13.57,2,1,30.0,intermediate
0.3,22.21,11,5,30.0,beginner
0.75,5.88,1,4,30.0,advanced
0.4,10.94,6,6,19.8,intermediate
0.65,7.95,3,3,16.4,intermediate
0.55,14.23,4,6,25.2,beginner
0.55,10.15,4,4,30.0,intermediate
0.55,7.5,2,3,12.6,intermediate
0.65,5.67,1,3,30.0,advanced
0.55,9.52,5,3,22.3,intermediate
0.65,7.78,2,9,12.5,intermediate
0.65,6.39,1,6,28.0,intermediate
0.7,15.15,2,4,29.1,intermediate
0.45,21.8,3,4,21.4,intermediate
0.35,7.31,8,2,14.8,beginner
0.75,3.83,1,5,30.0,intermediate
0.6,7.24,3,5,18.0,intermediate
0.8,6.74,2,0,30.0,intermediate
0.35,15.25,9,5,12.1,intermediate
0.8,6.67,1,0,29.8,advanced
0.95,4.54,0,6,30.0,advanced
0.75,8.84,3,5,30.0,intermediate
0.2,8.65,9,2,30.0,beginner
0.55,8.1,2,4,18.3,intermediate
0.45,11.21,7,6,24.2,beginner
0.4,6.81,9,5,12.4,beginner
0.6,6.11,4,4,14.6,intermediate
0.6,5.68,4,5,20.1,intermediate
0.85,7.11,0,5,29.8,advanced
0.6,9.97,1,5,30.0,intermediate
0.45,11.41,1,6,30.0,intermediate
0.4,5.33,5,6,19.8,intermediate
0.45,6.31,4,4,23.4,beginner
0.6,13.02,9,2,27.5,beginner
0.6,2.9,3,4,28.9,intermediate
0.7,10.37,3,5,24.4,intermediate
0.75,4.16,3,4,24.6,intermediate
0.75,10.03,0,2,23.9,intermediate
0.75,5.56,1,4,23.2,intermediate
0.5,11.74,3,5,21.8,intermediate
0.45,26.98,2,3,22.5,intermediate
0.9,2.45,1,5,24.9,intermediate
0.65,11.04,2,7,16.5,intermediate
0.55,4.77,3,8,28.2,intermediate
0.65,8.61,2,4,27.7,intermediate
0.6,7.12,5,3,30.0,intermediate
0.35,15.19,8,6,21.1,beginner
0.65,6.78,4,5,20.2,beginner
0.3,15.17,8,2,17.1,beginner
0.5,5.85,2,4,22.6,intermediate
