policy,return,ret/step,ep len,P(alert|anom),false alerts /1k,P(reroute|block),P(slow|rough),dock rate,latency ms
random (no-abort),-976 ± 501,-0.157,5837,0.24,249.9,0.26,0.26,—,0.001
REINFORCE,1579 ± 789,0.518,3163,0.49,137.3,0.01,0.01,—,0.026
REINFORCE + value baseline,1329 ± 694,0.398,3430,0.32,76.0,0.08,0.11,—,0.026
PPO 250k,156 ± 17,0.517,309,0.00,0.0,—,—,—,0.122
GRPO-style 250k,214 ± 33,0.673,322,0.25,26.8,—,—,—,0.026
"PPO 250k, γ = 0.999",135 ± 1,0.431,332,0.00,0.3,—,—,—,0.122
DQN 80k (Week 5),2651 ± 480,0.392,6418,0.40,164.9,0.01,0.55,—,0.071
"DQN 250k (W5 config, slower ε anneal)",2048 ± 648,0.314,5983,0.60,319.2,0.09,0.26,—,0.070
DQN 250k (normalised obs),2461 ± 520,0.431,5794,0.57,226.9,0.04,0.34,—,0.070
"scripted, label-blind (floor)",3931 ± 616,0.438,9009,0.00,3.7,1.00,0.94,—,0.001
BC (offline),4892 ± 577,0.550,8950,0.21,54.7,0.84,0.86,—,0.028
"REINFORCE + baseline, BC-init",5969 ± 692,0.691,8658,0.46,104.2,0.82,0.61,—,0.027
"PPO 250k, BC-init",6421 ± 659,0.814,7733,0.85,241.3,0.34,0.08,—,0.121
"GRPO-style 250k, BC-init",5182 ± 585,0.594,8736,0.35,88.7,0.65,0.61,—,0.026
"PPO 250k, γ = 0.999, BC-init",6104 ± 338,0.809,7370,0.83,224.4,0.35,0.07,—,0.121
"expert, label-aware (ceiling)",11575 ± 1343,1.324,8779,1.00,3.6,0.87,0.62,—,—
